"sip","sport","dip","dport","proto","first_timestamp","total_time","pkt_fwd_count","pl_fwd_count","last_timestamp_fwd","pl_len_fwd_mean","pl_len_fwd_stdev","pl_len_fwd_total","pl_len_fwd_min","pl_len_fwd_max","pkt_len_fwd_mean","pkt_len_fwd_stdev","pkt_len_fwd_total","pkt_len_fwd_min","pkt_len_fwd_max","pkt_bwd_count","pl_bwd_count","last_timestamp_bwd","pl_len_bwd_mean","pl_len_bwd_stdev","pl_len_bwd_total","pl_len_bwd_min","pl_len_bwd_max","pkt_len_bwd_mean","pkt_len_bwd_stdev","pkt_len_bwd_total","pkt_len_bwd_min","pkt_len_bwd_max","dd","dn","dns","ds","application","app","traffic_type","label"
"192.168.0.119",64110,"192.168.0.1",53,17,1721793720828208,8701214,6,6,1721793723847138,52,0,312,52,52,80,0,480,80,80,6,6,1721793729529422,52,0,312,52,52,80,0,480,80,80,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.223",33346,"185.164.205.12",443,6,1721793720913163,17819,3,1,1721793720917080,31,0,31,31,31,62.333332,14.6135435,187,52,83,4,2,1721793720930982,224.5,193.5,449,31,418,164.25,176.97794,657,52,470,"Unknown","Unknown","zsw.finkzeit.at","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.131",59130,"142.250.195.106",443,17,1721793721297334,30440182,30,30,1721793751402321,332.6,477.65674,9978,31,1250,360.6,477.65674,10818,59,1278,34,34,1721793751737516,332.11765,477.0812,11292,21,1250,360.11765,477.0812,12244,49,1278,"Unknown","Unknown","Unknown","Unknown","Instagram","Instagram","Unknown","dns"
"192.168.0.120",51768,"91.206.8.36",123,17,1721793721428186,1293,2,2,1721793721428186,48,0,96,48,48,76,0,152,76,76,2,2,1721793721429479,48,0,96,48,48,76,0,152,76,76,"Unknown","Unknown","Unknown","Unknown","Discord","Discord","Unknown","dns"
"192.168.0.223",52717,"192.168.0.1",53,17,1721793723983631,352,4,4,1721793723983753,33,0,132,33,33,61,0,244,61,61,4,4,1721793723983983,64,15,256,49,79,92,15,368,77,107,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.223",33348,"185.164.205.12",443,6,1721793723987031,120133570,14,4,1721793844106610,194.25,122.89909,777,31,344,108.07143,109.34772,1513,52,396,13,8,1721793844120601,778.625,664.83344,6229,6,1448,531.7692,644.1349,6913,52,1500,"Unknown","Unknown","zsw.finkzeit.at","Unknown","Skype","Skype","Unknown","dns"
"192.168.0.131",57838,"192.147.130.245",443,6,1721793724751903,35008694,10,0,1721793759760597,0,0,0,0,0,64,0,640,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adobe","Unknown","hbrt.adobe.com/hbrt-or1-ext-vip.adobe.com","Unknown","Adobe","Unknown","Unknown","dns"
"192.168.0.160",35079,"142.251.36.174",443,17,1721793725038706,76417,18,18,1721793725108487,401.33334,513.92413,7224,31,1250,429.33334,513.92413,7728,59,1278,18,18,1721793725115123,535.1111,505.37653,9632,21,1250,563.1111,505.37656,10136,49,1278,"Google","Google","google.com","Unknown","Google","Meta","Unknown","dns"
"192.168.0.160",44569,"142.251.37.3",443,17,1721793725446821,61743,18,18,1721793725508564,370.55554,495.52805,6670,31,1250,398.55554,495.52805,7174,59,1278,20,20,1721793725488861,448.4,488.84726,8968,22,1250,476.4,488.84726,9528,50,1278,"Google","Google","ssl.gstatic.com","Unknown","Google","Snapchat","Unknown","dns"
"192.168.0.65",58252,"192.168.0.1",53,6,1721793726759651,1267,6,2,1721793726760918,17.5,15.5,35,2,33,47.833332,12.033523,287,40,73,6,1,1721793726760848,51,0,51,51,51,50.5,18.634645,303,40,91,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.65",58253,"192.168.0.1",53,6,1721793726759735,1015,6,2,1721793726760750,17.5,15.5,35,2,33,47.833332,12.033523,287,40,73,6,1,1721793726760633,92,0,92,92,92,57.333332,33.67822,344,40,132,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.65",61451,"142.251.37.3",443,17,1721793726761323,62527,18,18,1721793726823850,401.66666,513.56274,7230,31,1250,429.66666,513.56274,7734,59,1278,20,20,1721793726803449,448.3,489.07034,8966,22,1250,476.3,489.07037,9526,50,1278,"Google","Google","ssl.gstatic.com","Unknown","Google","Snapchat","Unknown","dns"
"192.168.0.119",59252,"192.168.0.1",53,17,1721793727852053,2744325,4,4,1721793728854111,52,0,208,52,52,80,0,320,80,80,4,4,1721793730596378,52,0,208,52,52,80,0,320,80,80,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.160",45456,"142.251.37.3",443,17,1721793727890585,62425,18,18,1721793727953010,531.3333,561.50037,9564,31,1250,559.3333,561.50037,10068,59,1278,22,22,1721793727933230,409.72726,480.78024,9014,22,1250,437.72726,480.78024,9630,50,1278,"Google","Google","ssl.gstatic.com","Unknown","Google","Instagram","Unknown","dns"
"192.168.0.30",42305,"192.168.0.1",53,17,1721793728126916,1533,2,2,1721793728126916,58,0,116,58,58,86,0,172,86,86,2,2,1721793728128449,142,0,284,142,142,170,0,340,170,170,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.30",58072,"192.168.0.1",53,17,1721793728127211,1229,2,2,1721793728127211,58,0,116,58,58,86,0,172,86,86,2,2,1721793728128440,142,0,284,142,142,170,0,340,170,170,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.131",57839,"23.20.45.252",443,6,1721793728750303,4533394,48,33,1721793733283697,375.0303,350.31537,12376,38,1348,310.08334,338.32217,14884,52,1400,36,20,1721793733101597,353.5,139.87332,7070,38,754,248.61111,204.05518,8950,52,806,"Unknown","Amazon","Unknown","Unknown","Amazon","Unknown","Unknown","dns"
"192.168.0.131",62512,"142.250.193.170",443,17,1721793728778831,1455027,20,20,1721793729896744,448.3,538.24274,8966,31,1250,476.3,538.24274,9526,59,1278,24,24,1721793730233858,462.75,516.4998,11106,21,1250,490.75,516.4998,11778,49,1278,"Unknown","Unknown","Unknown","Unknown","Snapchat","Snapchat","Unknown","dns"
"192.168.0.131",49710,"142.250.182.78",443,17,1721793728800762,73924569,202,202,1721793802390426,590.3366,552.5892,119248,31,1250,618.3366,552.5895,124904,59,1278,176,176,1721793802725331,226.125,309.20428,39798,23,1250,254.125,309.20428,44726,51,1278,"Unknown","Google","Unknown","Unknown","Google","Unknown","Unknown","dns"
"192.168.0.131",62883,"142.250.193.170",443,17,1721793728810038,2338444,36,36,1721793730823587,454.8889,529.8118,16376,31,1250,482.8889,529.8117,17384,59,1278,44,44,1721793731148482,474.9091,545.16675,20896,24,1250,502.9091,545.1667,22128,52,1278,"Unknown","Unknown","Unknown","Unknown","Snapchat","Snapchat","Unknown","dns"
"192.168.0.131",55054,"142.250.67.74",443,17,1721793728824714,1492311,30,30,1721793729954631,523.86664,499.29083,15716,31,1250,551.86664,499.29083,16556,59,1278,32,32,1721793730317025,343.5,488.2123,10992,24,1250,371.5,488.2123,11888,52,1278,"Unknown","Google","Unknown","Unknown","Google","Unknown","Unknown","dns"
